created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2026-05-10T15:43:39+00:00,1,275,0.96884,23.9,63,1,,,,,
2026-05-10T16:08:32+00:00,2,209,0.73919,24.1,68,1,,,,,
2026-05-10T16:30:09+00:00,3,221,0.69615,24,84,1,,,,,
2026-05-10T16:51:46+00:00,4,231,0.6637,24.1,87.4,1,,,,,
2026-05-10T17:13:23+00:00,5,237,0.64555,24.2,88.9,1,,,,,
2026-05-10T17:35:00+00:00,6,244,0.6255,24.3,89.7,1,,,,,
2026-05-10T17:56:36+00:00,7,249,0.61187,24.3,90.4,1,,,,,
2026-05-10T18:18:14+00:00,8,254,0.59877,24.5,90.8,1,,,,,
2026-05-10T19:01:38+00:00,9,263,0.57645,24.8,91.1,1,,,,,
2026-05-10T19:23:15+00:00,10,264,0.57407,24.7,92.1,1,,,,,
2026-05-10T19:44:53+00:00,11,267,0.56702,24.6,92.8,1,,,,,
2026-05-10T20:06:30+00:00,12,268,0.5647,24.5,93.3,1,,,,,
2026-05-10T20:28:09+00:00,13,273,0.55338,24.5,93.6,1,,,,,
2026-05-10T20:49:47+00:00,14,275,0.54897,24.5,94,1,,,,,
2026-05-10T21:11:24+00:00,15,277,0.54462,24.5,94.2,1,,,,,
2026-05-10T21:33:03+00:00,16,279,0.54033,24.5,94.1,1,,,,,
2026-05-10T22:16:26+00:00,17,281,0.53611,24.7,94.3,1,,,,,
2026-05-10T22:38:07+00:00,18,285,0.52783,24.7,94.3,1,,,,,
2026-05-10T22:59:44+00:00,19,286,0.5258,24.8,94.3,1,,,,,
2026-05-10T23:21:21+00:00,20,291,0.51585,24.8,94.5,1,,,,,
2026-05-10T23:42:59+00:00,21,293,0.51196,24.9,94.5,1,,,,,
2026-05-10T00:04:35+00:00,22,294,0.51004,24.9,94.5,1,,,,,
2026-05-10T00:26:12+00:00,23,296,0.50623,24.9,94.6,1,,,,,
2026-05-10T00:47:49+00:00,24,299,0.50062,25,94.7,1,,,,,
2026-05-10T01:09:25+00:00,25,301,0.49694,25.9,92.8,1,,,,,
2026-05-10T01:31:01+00:00,26,301,0.49694,25.7,92.9,1,,,,,
2026-05-10T01:52:37+00:00,27,302,0.49511,25.4,94.4,1,,,,,
2026-05-11T02:14:13+00:00,28,301,0.49694,25.2,95,1,,,,,
2026-05-11T02:35:49+00:00,29,301,0.49694,25,95.4,1,,,,,
2026-05-11T02:57:25+00:00,30,303,0.4933,24.9,95.7,1,,,,,
2026-05-11T03:19:01+00:00,31,303,0.4933,24.8,95.9,1,,,,,
2026-05-11T03:40:37+00:00,32,303,0.4933,24.7,96,1,,,,,
2026-05-11T04:02:13+00:00,33,307,0.48618,24.6,96.1,1,,,,,
2026-05-11T04:23:50+00:00,34,307,0.48618,24.5,96.2,1,,,,,
2026-05-11T04:45:26+00:00,35,303,0.4933,24.5,96.3,1,,,,,
2026-05-11T05:07:01+00:00,36,303,0.4933,24.4,96.3,1,,,,,
2026-05-11T05:28:37+00:00,37,305,0.48972,24.3,96.4,1,,,,,
2026-05-11T05:50:13+00:00,38,307,0.48618,24.3,96.4,1,,,,,
2026-05-11T06:11:50+00:00,39,308,0.48443,24.2,96.5,1,,,,,
2026-05-11T06:33:26+00:00,40,309,0.48269,24.2,96.4,1,,,,,
2026-05-11T06:55:03+00:00,41,310,0.48096,24.2,96.5,1,,,,,
2026-05-11T07:16:39+00:00,42,307,0.48618,24.2,96.5,1,,,,,
2026-05-11T07:38:15+00:00,43,307,0.48618,24.1,96.5,1,,,,,
2026-05-11T07:59:51+00:00,44,308,0.48443,24.1,96.6,1,,,,,
2026-05-11T08:21:26+00:00,45,308,0.48443,24.1,96.6,1,,,,,
2026-05-11T08:43:03+00:00,46,309,0.48269,24,96.6,1,,,,,
2026-05-11T09:04:38+00:00,47,303,0.4933,23.9,96.6,1,,,,,
2026-05-11T09:26:14+00:00,48,307,0.48618,23.9,96.6,1,,,,,
2026-05-11T09:47:50+00:00,49,307,0.48618,23.9,96.6,1,,,,,
2026-05-11T10:09:27+00:00,50,307,0.48618,23.9,96.6,1,,,,,
2026-05-11T10:31:03+00:00,51,307,0.48618,23.9,96.6,1,,,,,
2026-05-11T10:52:39+00:00,52,307,0.48618,23.8,96.7,1,,,,,
2026-05-11T11:14:15+00:00,53,307,0.48618,23.8,96.6,1,,,,,
2026-05-11T11:35:51+00:00,54,307,0.48618,23.8,96.6,1,,,,,
2026-05-11T11:57:27+00:00,55,306,0.48794,23.8,96.6,1,,,,,
2026-05-11T12:19:03+00:00,56,305,0.48972,23.6,96.6,1,,,,,
2026-05-11T12:40:39+00:00,57,307,0.48618,23.6,96.6,1,,,,,
2026-05-11T13:02:16+00:00,58,308,0.48443,23.6,96.7,1,,,,,
2026-05-11T13:23:51+00:00,59,311,0.47924,23.6,96.6,1,,,,,
2026-05-11T13:45:28+00:00,60,307,0.48618,23.6,96.6,1,,,,,
2026-05-11T14:07:04+00:00,61,309,0.48269,23.6,96.5,1,,,,,
2026-05-11T14:28:40+00:00,62,309,0.48269,23.6,96.6,1,,,,,
2026-05-11T14:50:15+00:00,63,309,0.48269,23.6,96.6,1,,,,,
2026-05-11T15:11:52+00:00,64,311,0.47924,23.6,96.6,1,,,,,
2026-05-11T15:33:28+00:00,65,313,0.47584,23.6,96.6,1,,,,,
2026-05-11T15:55:05+00:00,66,313,0.47584,23.7,96.6,1,,,,,
2026-05-11T16:16:41+00:00,67,313,0.47584,23.9,96.4,1,,,,,
2026-05-11T16:38:17+00:00,68,313,0.47584,24,96.1,1,,,,,
2026-05-11T16:59:53+00:00,69,317,0.46916,24.1,96,1,,,,,
2026-05-11T17:21:30+00:00,70,316,0.47081,24.1,95.9,1,,,,,
2026-05-11T17:43:07+00:00,71,317,0.46916,24.2,95.8,1,,,,,
2026-05-11T18:04:42+00:00,72,318,0.46752,24.3,95.8,1,,,,,
2026-05-11T18:26:17+00:00,73,320,0.46426,24.3,95.7,1,,,,,
2026-05-11T18:47:53+00:00,74,326,0.45473,24.2,96.1,1,,,,,
2026-05-11T19:09:29+00:00,75,319,0.46588,24.2,96.4,1,,,,,
2026-05-11T19:31:05+00:00,76,327,0.45318,24.1,96.3,1,,,,,
2026-05-11T19:52:42+00:00,77,327,0.45318,24.1,96.5,1,,,,,
2026-05-11T20:14:17+00:00,78,327,0.45318,24,96.5,1,,,,,
2026-05-11T20:35:54+00:00,79,328,0.45163,24,96.5,1,,,,,
2026-05-11T20:57:30+00:00,80,328,0.45163,24,96.6,1,,,,,
2026-05-11T21:19:07+00:00,81,329,0.4501,24,96.6,1,,,,,
2026-05-11T21:40:45+00:00,82,329,0.4501,23.9,96.7,1,,,,,
2026-05-11T22:02:22+00:00,83,331,0.44706,23.9,96.6,1,,,,,
2026-05-11T22:23:58+00:00,84,329,0.4501,23.9,96.7,1,,,,,
2026-05-11T22:45:35+00:00,85,331,0.44706,23.9,96.7,1,,,,,
2026-05-11T23:07:12+00:00,86,328,0.45163,23.8,96.8,1,,,,,
2026-05-11T23:28:48+00:00,87,329,0.4501,23.8,96.8,1,,,,,
2026-05-11T23:50:25+00:00,88,331,0.44706,23.8,96.7,1,,,,,
2026-05-11T00:12:02+00:00,89,331,0.44706,23.9,96.6,1,,,,,
2026-05-11T00:33:39+00:00,90,331,0.44706,23.8,96.7,1,,,,,
2026-05-11T00:55:16+00:00,91,329,0.4501,23.9,96.7,1,,,,,
2026-05-11T01:16:52+00:00,92,332,0.44555,23.9,96.7,1,,,,,
2026-05-11T01:38:28+00:00,93,331,0.44706,23.9,96.8,1,,,,,
2026-05-12T02:00:05+00:00,94,333,0.44405,23.9,96.8,1,,,,,
2026-05-12T02:21:41+00:00,95,333,0.44405,23.8,96.8,1,,,,,
2026-05-12T02:43:18+00:00,96,333,0.44405,23.9,96.8,1,,,,,
2026-05-12T03:04:54+00:00,97,333,0.44405,23.8,96.8,1,,,,,
2026-05-12T03:26:31+00:00,98,333,0.44405,23.9,96.8,1,,,,,
2026-05-12T03:48:08+00:00,99,334,0.44256,23.8,96.9,1,,,,,
2026-05-12T04:09:44+00:00,100,337,0.43815,23.8,96.8,1,,,,,
2026-05-12T04:31:21+00:00,101,335,0.44108,23.8,96.9,1,,,,,
2026-05-12T04:52:57+00:00,102,337,0.43815,23.8,96.9,1,,,,,
2026-05-12T05:14:33+00:00,103,335,0.44108,23.8,96.8,1,,,,,
2026-05-12T05:36:10+00:00,104,338,0.43669,23.8,96.9,1,,,,,
2026-05-12T05:57:46+00:00,105,339,0.43525,23.8,96.9,1,,,,,
2026-05-12T06:19:22+00:00,106,337,0.43815,23.8,96.9,1,,,,,
2026-05-12T06:40:58+00:00,107,339,0.43525,23.8,96.9,1,,,,,
2026-05-12T07:02:35+00:00,108,339,0.43525,23.8,96.9,1,,,,,
2026-05-12T07:24:11+00:00,109,339,0.43525,23.8,97,1,,,,,
2026-05-12T07:45:47+00:00,110,339,0.43525,23.7,96.9,1,,,,,
2026-05-12T08:07:24+00:00,111,339,0.43525,23.7,96.9,1,,,,,
2026-05-12T08:29:00+00:00,112,341,0.43238,23.7,97,1,,,,,
2026-05-12T08:50:37+00:00,113,340,0.43381,23.7,97,1,,,,,
2026-05-12T09:12:14+00:00,114,343,0.42955,23.7,97,1,,,,,
2026-05-12T09:33:51+00:00,115,341,0.43238,23.7,97,1,,,,,
2026-05-12T09:55:27+00:00,116,342,0.43096,23.7,97,1,,,,,
2026-05-12T10:17:04+00:00,117,343,0.42955,23.7,97,1,,,,,
2026-05-12T10:38:40+00:00,118,343,0.42955,23.7,97.1,1,,,,,
2026-05-12T11:00:17+00:00,119,343,0.42955,23.7,97.1,1,,,,,
2026-05-12T11:21:53+00:00,120,341,0.43238,23.7,97,1,,,,,
